score,content,case folding,remove punctuation,tokenizing,stopword,normalized
5,Aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. Terimakasih ya. Saran saya : tambahkan Trans Jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat),aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. terimakasih ya. saran saya : tambahkan trans jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat),aplikasinya bisa memudahkan pengguna  baik teman  maupun  teman  seperti trans jogja terimakasih  saran saya tambahkan trans jakarta  aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain bisa lewat mitra darat,"['aplikasinya', 'bisa', 'memudahkan', 'pengguna', 'baik', 'teman', 'maupun', 'teman', 'seperti', 'trans', 'jogja', 'terimakasih', 'saran', 'saya', 'tambahkan', 'trans', 'jakarta', 'aplikasi', 'mitra', 'darat', 'biar', 'bisa', 'memudahkan', 'melihat', 'rute', 'tanpa', 'harus', 'download', 'aplikasi', 'lain', 'bisa', 'lewat', 'mitra', 'darat']","['aplikasinya', 'memudahkan', 'pengguna', 'teman', 'teman', 'trans', 'jogja', 'terimakasih', 'saran', 'tambahkan', 'trans', 'jakarta', 'aplikasi', 'mitra', 'darat', 'memudahkan', 'rute', 'download', 'aplikasi', 'mitra', 'darat']","['aplikasi', 'nya', 'memudahkan', 'pengguna', 'teman', 'trans', 'jogja', 'terima', 'kasih', 'saran', 'tambahkan', 'trans', 'jakarta', 'aplikasi', 'mitra', 'darat', 'memudahkan', 'rute', 'unduh', 'aplikasi', 'mitra', 'darat']"
5,"2 Tahun ini 2024 & 2025,ngga kebagian terus,,habis terus.Jangan2 ada calonya ya.Tiap jam tiap hari cek.selalu habis.Giliran ada info kuota,masuk susah.","2 tahun ini 2024 & 2025,ngga kebagian terus,,habis terus.jangan2 ada calonya ya.tiap jam tiap hari cek.selalu habis.giliran ada info kuota,masuk susah.",tahun  ngga kebagian terushabis terusjangan  calonya yatiap  tiap hari cekselalu habisgiliran  info kuotamasuk susah,"['tahun', 'ngga', 'kebagian', 'terushabis', 'terusjangan', 'calonya', 'yatiap', 'tiap', 'hari', 'cekselalu', 'habisgiliran', 'info', 'kuotamasuk', 'susah']","['ngga', 'kebagian', 'terushabis', 'terusjangan', 'calonya', 'yatiap', 'cekselalu', 'habisgiliran', 'info', 'kuotamasuk', 'susah']","['tidak', 'kebagian', 'terushabis', 'terusjangan', 'calonya', 'yatiap', 'cekselalu', 'habisgiliran', 'informasi', 'kuotamasuk', 'sulit']"
5,bagus sekali aplikasi ini sgt memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis,bagus sekali aplikasi ini sgt memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis,bagus sekali aplikasi   memudahkan untuk para pemudik walaupun saya belum juga berhasil dapat tiket gratis,"['bagus', 'sekali', 'aplikasi', 'memudahkan', 'untuk', 'para', 'pemudik', 'walaupun', 'saya', 'belum', 'juga', 'berhasil', 'dapat', 'tiket', 'gratis']","['bagus', 'aplikasi', 'memudahkan', 'pemudik', 'berhasil', 'tiket', 'gratis']","['bagus', 'aplikasi', 'memudahkan', 'pemudik', 'berhasil', 'tiket', 'gratis']"
5,"Joooooooooosssss,, Semoga ke depannya semakin bagus dan pastinya sangat bermanfaat u/ warga Jawa Timur khususnya Surabaya","joooooooooosssss,, semoga ke depannya semakin bagus dan pastinya sangat bermanfaat u/ warga jawa timur khususnya surabaya",joooooooooosssss semoga  depannya semakin bagus  pastinya sangat bermanfaat  warga jawa timur khususnya surabaya,"['joooooooooosssss', 'semoga', 'depannya', 'semakin', 'bagus', 'pastinya', 'sangat', 'bermanfaat', 'warga', 'jawa', 'timur', 'khususnya', 'surabaya']","['joooooooooosssss', 'semoga', 'depannya', 'bagus', 'pastinya', 'bermanfaat', 'warga', 'jawa', 'timur', 'surabaya']","['joooooooooosssss', 'semoga', 'depannya', 'bagus', 'pastinya', 'bermanfaat', 'warga', 'jawa', 'timur', 'surabaya']"
5,"Lumayan bagus, bisa tau arah bus dan jadwal busnya, semoga semakin berkembang aplikasinya.","lumayan bagus, bisa tau arah bus dan jadwal busnya, semoga semakin berkembang aplikasinya.",lumayan bagus bisa  arah   jadwal busnya semoga semakin berkembang aplikasinya,"['lumayan', 'bagus', 'bisa', 'arah', 'jadwal', 'busnya', 'semoga', 'semakin', 'berkembang', 'aplikasinya']","['lumayan', 'bagus', 'arah', 'jadwal', 'busnya', 'semoga', 'berkembang', 'aplikasinya']","['cukup', 'baik', 'bagus', 'arah', 'jadwal', 'busnya', 'semoga', 'berkembang', 'aplikasi', 'nya']"
5,"Sangat membantu buat kami dengan adanya mudik geratis tapi sayang sy belum dapat tiketnya padahal sudah coba berkali""","sangat membantu buat kami dengan adanya mudik geratis tapi sayang sy belum dapat tiketnya padahal sudah coba berkali""",sangat membantu buat kami dengan adanya mudik geratis tapi sayang  belum dapat tiketnya padahal sudah coba berkali,"['sangat', 'membantu', 'buat', 'kami', 'dengan', 'adanya', 'mudik', 'geratis', 'tapi', 'sayang', 'belum', 'dapat', 'tiketnya', 'padahal', 'sudah', 'coba', 'berkali']","['membantu', 'mudik', 'geratis', 'sayang', 'tiketnya', 'coba', 'berkali']","['membantu', 'pulang', 'kampung', 'geratis', 'sayang', 'tiketnya', 'coba', 'berkali']"
5,"Semoga amplikasi mitradarat semakin maju dan berkembang bikin indonesia maju bisa ter wujud...teruskan mudik gratis tiap tahun leh banyank dan banyak.,biar rakyat kecil senang.","semoga amplikasi mitradarat semakin maju dan berkembang bikin indonesia maju bisa ter wujud...teruskan mudik gratis tiap tahun leh banyank dan banyak.,biar rakyat kecil senang.",semoga amplikasi mitradarat semakin maju  berkembang bikin indonesia maju bisa  wujudteruskan mudik gratis tiap tahun  banyank  banyakbiar rakyat kecil senang,"['semoga', 'amplikasi', 'mitradarat', 'semakin', 'maju', 'berkembang', 'bikin', 'indonesia', 'maju', 'bisa', 'wujudteruskan', 'mudik', 'gratis', 'tiap', 'tahun', 'banyank', 'banyakbiar', 'rakyat', 'kecil', 'senang']","['semoga', 'amplikasi', 'mitradarat', 'maju', 'berkembang', 'indonesia', 'maju', 'wujudteruskan', 'mudik', 'gratis', 'banyank', 'banyakbiar', 'rakyat', 'senang']","['semoga', 'amplikasi', 'mitradarat', 'maju', 'berkembang', 'indonesia', 'maju', 'wujudteruskan', 'pulang', 'kampung', 'gratis', 'banyank', 'banyakbiar', 'rakyat', 'senang']"
5,"Sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""Teman Bus"" mahasiswa hanya dapat tarif 2000, sayangnya di Makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. Keadaan didalam bus sangat nyaman, bersih, dan ber-AC. Driver bus juga sangat informatif dan membantuu. Semoga kedepannya jalurnya bisa lebih banyak lagii.","sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""teman bus"" mahasiswa hanya dapat tarif 2000, sayangnya di makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. keadaan didalam bus sangat nyaman, bersih, dan ber-ac. driver bus juga sangat informatif dan membantuu. semoga kedepannya jalurnya bisa lebih banyak lagii.",sangat membantuu aplikasi juga akurat dengan fiturfitur yang berguna terutama untuk teman  mahasiswa hanya dapat tarif sayangnya  makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan keadaan didalam  sangat nyaman bersih  berac driver  juga sangat informatif  membantuu semoga kedepannya jalurnya bisa lebih banyak lagii,"['sangat', 'membantuu', 'aplikasi', 'juga', 'akurat', 'dengan', 'fiturfitur', 'yang', 'berguna', 'terutama', 'untuk', 'teman', 'mahasiswa', 'hanya', 'dapat', 'tarif', 'sayangnya', 'makassar', 'jalurnya', 'masih', 'terbatas', 'tapi', 'sudah', 'sangat', 'memudahkan', 'perjalanan', 'keadaan', 'didalam', 'sangat', 'nyaman', 'bersih', 'berac', 'driver', 'juga', 'sangat', 'informatif', 'membantuu', 'semoga', 'kedepannya', 'jalurnya', 'bisa', 'lebih', 'banyak', 'lagii']","['membantuu', 'aplikasi', 'akurat', 'fiturfitur', 'berguna', 'teman', 'mahasiswa', 'tarif', 'sayangnya', 'makassar', 'jalurnya', 'terbatas', 'memudahkan', 'perjalanan', 'didalam', 'nyaman', 'bersih', 'berac', 'driver', 'informatif', 'membantuu', 'semoga', 'kedepannya', 'jalurnya', 'lagii']","['membantu', 'aplikasi', 'akurat', 'fitur', 'berguna', 'teman', 'mahasiswa', 'tarif', 'sayangnya', 'makassar', 'jalurnya', 'terbatas', 'memudahkan', 'perjalanan', 'didalam', 'nyaman', 'bersih', 'berac', 'driver', 'informatif', 'membantu', 'semoga', 'ke', 'depannya', 'jalurnya', 'lagii']"
5,Saya hanya ingin titip pesan untuk semua pemerintah tolong di tambah kouta nya. Kasihan orang rantau yang belum bisa pulang ke kampung halamannya. Di karnakan tiket nya begitu mahal hingga 2-3x lipat. Terimakasih 🙏,saya hanya ingin titip pesan untuk semua pemerintah tolong di tambah kouta nya. kasihan orang rantau yang belum bisa pulang ke kampung halamannya. di karnakan tiket nya begitu mahal hingga 2-3x lipat. terimakasih 🙏,saya hanya ingin titip pesan untuk semua pemerintah tolong  tambah kouta  kasihan orang rantau yang belum bisa pulang  kampung halamannya  karnakan tiket  begitu mahal hingga  lipat terimakasih,"['saya', 'hanya', 'ingin', 'titip', 'pesan', 'untuk', 'semua', 'pemerintah', 'tolong', 'tambah', 'kouta', 'kasihan', 'orang', 'rantau', 'yang', 'belum', 'bisa', 'pulang', 'kampung', 'halamannya', 'karnakan', 'tiket', 'begitu', 'mahal', 'hingga', 'lipat', 'terimakasih']","['titip', 'pesan', 'pemerintah', 'tolong', 'kouta', 'kasihan', 'orang', 'rantau', 'pulang', 'kampung', 'halamannya', 'karnakan', 'tiket', 'mahal', 'lipat', 'terimakasih']","['titip', 'pesan', 'pemerintah', 'tolong', 'kouta', 'kasihan', 'orang', 'rantau', 'pulang', 'kampung', 'halamannya', 'karnakan', 'tiket', 'mahal', 'lipat', 'terima', 'kasih']"
5,"Aplikasinya bagus sangat membantu, apa lagi kita bisa tau dimana letak posisi bus tersebut, sehingga bisa tepat waktu utk menunggunya. Pengalamanku pernah sampai lari, biar tdk ketinggalan bus tersebut, dan akhirnya sampai di tempat pemberhentian bus dgn tepat waktu","aplikasinya bagus sangat membantu, apa lagi kita bisa tau dimana letak posisi bus tersebut, sehingga bisa tepat waktu utk menunggunya. pengalamanku pernah sampai lari, biar tdk ketinggalan bus tersebut, dan akhirnya sampai di tempat pemberhentian bus dgn tepat waktu",aplikasinya bagus sangat membantu  lagi kita bisa  dimana letak posisi  tersebut sehingga bisa tepat waktu  menunggunya pengalamanku pernah sampai lari biar  ketinggalan  tersebut  akhirnya sampai  tempat pemberhentian   tepat waktu,"['aplikasinya', 'bagus', 'sangat', 'membantu', 'lagi', 'kita', 'bisa', 'dimana', 'letak', 'posisi', 'tersebut', 'sehingga', 'bisa', 'tepat', 'waktu', 'menunggunya', 'pengalamanku', 'pernah', 'sampai', 'lari', 'biar', 'ketinggalan', 'tersebut', 'akhirnya', 'sampai', 'tempat', 'pemberhentian', 'tepat', 'waktu']","['aplikasinya', 'bagus', 'membantu', 'dimana', 'letak', 'posisi', 'menunggunya', 'pengalamanku', 'lari', 'ketinggalan', 'pemberhentian']","['aplikasi', 'nya', 'bagus', 'membantu', 'di', 'mana', 'letak', 'posisi', 'menunggunya', 'pengalamanku', 'lari', 'ketinggalan', 'pemberhentian']"
