score,content,case folding,remove punctuation
5,"Aplikasi yang sangat bagus dan berguna bagi masyarakat,,untuk saran update mungkin sebulan sekali khususnya menu AKAP karena moda transportasi indonesia skrng lgi maju²nya banyak unit PO besar sudah ber GPS,untuk updatnya tambah informasi sebanyak²nya dalam aplikasi tersebut terus update PO² swasta agar makin rame","aplikasi yang sangat bagus dan berguna bagi masyarakat,,untuk saran update mungkin sebulan sekali khususnya menu akap karena moda transportasi indonesia skrng lgi maju²nya banyak unit po besar sudah ber gps,untuk updatnya tambah informasi sebanyak²nya dalam aplikasi tersebut terus update po² swasta agar makin rame",aplikasi yang sangat bagus  berguna bagi masyarakatuntuk saran update mungkin sebulan sekali khususnya menu akap karena moda transportasi indonesia skrng  majunya banyak unit  besar sudah  gpsuntuk updatnya tambah informasi sebanyaknya dalam aplikasi tersebut terus update  swasta agar makin rame
5,Aplikasi MitraDarat sangat recomended bagi teman-teman yang senang berpergian ke luar kota dengan menggunakan transportasi umum bus. Karena dengan aplikasi ini teman-teman bisa mengakses informasi rute dan melacak posisi bus di tiap-tiap daerah di Indonesia.,aplikasi mitradarat sangat recomended bagi teman-teman yang senang berpergian ke luar kota dengan menggunakan transportasi umum bus. karena dengan aplikasi ini teman-teman bisa mengakses informasi rute dan melacak posisi bus di tiap-tiap daerah di indonesia.,aplikasi mitradarat sangat recomended bagi temanteman yang senang berpergian  luar kota dengan menggunakan transportasi umum  karena dengan aplikasi  temanteman bisa mengakses informasi rute  melacak posisi   tiaptiap daerah  indonesia
5,Sudah bagus sih tapi saran untuk aplikasi untuk keterangan waktu berangkat ada bagusnya di tampilkann dan berapa menit perjalanan dari posisi bus ke pelanggan dikasih waktunya lebih dipermudah,sudah bagus sih tapi saran untuk aplikasi untuk keterangan waktu berangkat ada bagusnya di tampilkann dan berapa menit perjalanan dari posisi bus ke pelanggan dikasih waktunya lebih dipermudah,sudah bagus  tapi saran untuk aplikasi untuk keterangan waktu berangkat  bagusnya  tampilkann  berapa menit perjalanan dari posisi   pelanggan dikasih waktunya lebih dipermudah
5,"Naik bus terasa aman dan nyaman, trayek koridor B dan C minta tambahan bus karena menunggu bus berikutnya menyita waktu cukup lama","naik bus terasa aman dan nyaman, trayek koridor b dan c minta tambahan bus karena menunggu bus berikutnya menyita waktu cukup lama",naik  terasa aman  nyaman trayek koridor    minta tambahan  karena menunggu  berikutnya menyita waktu cukup lama
5,"Aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.","aplikasi sangat bagus, tampilan mudah dimengerti, semua fitur sangat bagus dikemas dalam interface yang rapih, pengingat kedatangan bus yang paling berguna, hanya terkadang live trackingnya agak sedikit terlambat, sisanya oke.",aplikasi sangat bagus tampilan mudah dimengerti semua fitur sangat bagus dikemas dalam interface yang rapih pengingat kedatangan  yang paling berguna hanya terkadang live trackingnya agak sedikit terlambat sisanya 
5,Mudah mudahan cara daftarnya gambang mendapatkan tiketnya.,mudah mudahan cara daftarnya gambang mendapatkan tiketnya.,mudah mudahan cara daftarnya gambang mendapatkan tiketnya
5,"Saya mengikuti program mudik gratis ke kampung Tuban melalui apk Mitra darat, aplikasi ini sangat membantu dan memudahkan dalam penggunaannya. Terimakasih Mitra Darat 🙌","saya mengikuti program mudik gratis ke kampung tuban melalui apk mitra darat, aplikasi ini sangat membantu dan memudahkan dalam penggunaannya. terimakasih mitra darat 🙌",saya mengikuti program mudik gratis  kampung tuban melalui  mitra darat aplikasi  sangat membantu  memudahkan dalam penggunaannya terimakasih mitra darat
5,"Aplikasi transportasi yang terhubung dengan semua daerah meski beda pulau, sangat membantu,, sangat bagus, baru ini aplikasi pemerintah yang bener2 berguna.","aplikasi transportasi yang terhubung dengan semua daerah meski beda pulau, sangat membantu,, sangat bagus, baru ini aplikasi pemerintah yang bener2 berguna.",aplikasi transportasi yang terhubung dengan semua daerah meski beda pulau sangat membantu sangat bagus baru  aplikasi pemerintah yang bener berguna
5,"Terimakasih Bapak menteri perhubungan dan pemerintah kota maupun kabupaten bekasi,dengan adanya bis kita sekarang saya naik dari halte depan patriot sampai dengan stasiun cikarang. Sebelum saya naik bis kita saya selalu naik angkutan umum dan selalu di oper oper ke angkutan yang lain mulai dari bekasi sampai dengan stasiun cikarang sehingga saya harus membayar banyak uang untuk setiap menaiki angkutan sampai dengan stasiun bekasi. Sekali lagi saya ucapkan terimakasih banyak bapak/ ibu.","terimakasih bapak menteri perhubungan dan pemerintah kota maupun kabupaten bekasi,dengan adanya bis kita sekarang saya naik dari halte depan patriot sampai dengan stasiun cikarang. sebelum saya naik bis kita saya selalu naik angkutan umum dan selalu di oper oper ke angkutan yang lain mulai dari bekasi sampai dengan stasiun cikarang sehingga saya harus membayar banyak uang untuk setiap menaiki angkutan sampai dengan stasiun bekasi. sekali lagi saya ucapkan terimakasih banyak bapak/ ibu.",terimakasih bapak menteri perhubungan  pemerintah kota maupun kabupaten bekasidengan adanya  kita sekarang saya naik dari halte depan patriot sampai dengan stasiun cikarang sebelum saya naik  kita saya selalu naik angkutan umum  selalu  oper oper  angkutan yang lain mulai dari bekasi sampai dengan stasiun cikarang sehingga saya harus membayar banyak uang untuk setiap menaiki angkutan sampai dengan stasiun bekasi sekali lagi saya ucapkan terimakasih banyak bapak 
5,"Yg terhormat untuk bis kita trans depok. Untuk armada di saat pagi hari yg arah ke stasiun Depok agak susah dan armada sedikit, tolong untuk armada nya ditambahkan agar bisa terpenuhi. Terimakasih","yg terhormat untuk bis kita trans depok. untuk armada di saat pagi hari yg arah ke stasiun depok agak susah dan armada sedikit, tolong untuk armada nya ditambahkan agar bisa terpenuhi. terimakasih", terhormat untuk  kita trans depok untuk armada  saat pagi hari  arah  stasiun depok agak susah  armada sedikit tolong untuk armada  ditambahkan agar bisa terpenuhi terimakasih
5,aplikasinya bagus bisa memudahkan mencari jurusan ataupun rute bus yang di inginkan.,aplikasinya bagus bisa memudahkan mencari jurusan ataupun rute bus yang di inginkan.,aplikasinya bagus bisa memudahkan mencari jurusan ataupun rute  yang  inginkan
5,Saya sangat sedih bis Makassar kegalesong dihentikan.padahal sangat membatu bila kita ingin kota.terim kasih sopir-sopirnya sangat baik dan ramah bis mamminasata,saya sangat sedih bis makassar kegalesong dihentikan.padahal sangat membatu bila kita ingin kota.terim kasih sopir-sopirnya sangat baik dan ramah bis mamminasata,saya sangat sedih  makassar kegalesong dihentikanpadahal sangat membatu bila kita ingin kotaterim kasih sopirsopirnya sangat baik  ramah  mamminasata
5,"sayaa pengguna batik solo trans merasa terbantu dengan aplikasi mitra darat ini, jadi lebih bisa prepare kalau mau naik bus💅","sayaa pengguna batik solo trans merasa terbantu dengan aplikasi mitra darat ini, jadi lebih bisa prepare kalau mau naik bus💅",sayaa pengguna batik solo trans merasa terbantu dengan aplikasi mitra darat  jadi lebih bisa prepare kalau  naik 
5,Sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar,sudah bagus aplikasinya agar lebih fleksibel dan dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu bus terdekat dan pada setiap koridor bus tombol lihat detail yang muncul di map itu dibuat agar bisa terbaca oleh pembaca layar,sudah bagus aplikasinya agar lebih fleksibel  dapat digunakan oleh disabilitas penglihatan tolong tambahkan menu  terdekat  pada setiap koridor  tombol lihat detail yang muncul    dibuat agar bisa terbaca oleh pembaca layar
5,"sangat membantu untuk pertama kali naik biskita Bekasi, jadi ga kesasar hahha","sangat membantu untuk pertama kali naik biskita bekasi, jadi ga kesasar hahha",sangat membantu untuk pertama kali naik biskita bekasi jadi  kesasar hahha
5,terimakasih ke kemenhub untuk aplikasi nya sgt membantu saya saat berpergian ke kota lain,terimakasih ke kemenhub untuk aplikasi nya sgt membantu saya saat berpergian ke kota lain,terimakasih  kemenhub untuk aplikasi   membantu saya saat berpergian  kota lain
5,"kenapa rute kampus tamalanrea dan bandara di tiadakan, kami sudah nyaman, klau bisa haltenya yg di tambah","kenapa rute kampus tamalanrea dan bandara di tiadakan, kami sudah nyaman, klau bisa haltenya yg di tambah",kenapa rute kampus tamalanrea  bandara  tiadakan kami sudah nyaman klau bisa haltenya   tambah
5,Aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. Terimakasih ya. Saran saya : tambahkan Trans Jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat),aplikasinya bisa memudahkan pengguna bus baik teman bus maupun non teman bus seperti trans jogja. terimakasih ya. saran saya : tambahkan trans jakarta di aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain (bisa lewat mitra darat),aplikasinya bisa memudahkan pengguna  baik teman  maupun  teman  seperti trans jogja terimakasih  saran saya tambahkan trans jakarta  aplikasi mitra darat biar bisa memudahkan melihat rute tanpa harus download aplikasi lain bisa lewat mitra darat
5,"Kenapa gak disatuin aja TMB sama TMP, padahal kan kalau disatuin lebih mudah, di satu aplikasi.","kenapa gak disatuin aja tmb sama tmp, padahal kan kalau disatuin lebih mudah, di satu aplikasi.",kenapa  disatuin   sama  padahal  kalau disatuin lebih mudah  satu aplikasi
5,membantu sekali .. jadi ga capek berdiri lama-lama karna bisa pantau dari gadget..,membantu sekali .. jadi ga capek berdiri lama-lama karna bisa pantau dari gadget..,membantu sekali jadi  capek berdiri lamalama karna bisa pantau dari gadget
5,Aplikasinya ringan dan lengkap bisa lihat rute bis lainnya di daerah.,aplikasinya ringan dan lengkap bisa lihat rute bis lainnya di daerah.,aplikasinya ringan  lengkap bisa lihat rute  lainnya  daerah
5,"alangkah baiknya, ditambahkan keterangan dan penjelasan.. apakah ciri/kode bus dan tujuan awal dan akhirnya?. sebagai contoh; saya ingin ikut bus, dari Banjarmasin menuju Banjarbaru (cukup 1 bus,tidak transit)","alangkah baiknya, ditambahkan keterangan dan penjelasan.. apakah ciri/kode bus dan tujuan awal dan akhirnya?. sebagai contoh; saya ingin ikut bus, dari banjarmasin menuju banjarbaru (cukup 1 bus,tidak transit)",alangkah baiknya ditambahkan keterangan  penjelasan apakah cirikode   tujuan awal  akhirnya sebagai contoh saya ingin ikut  dari banjarmasin menuju banjarbaru cukup bustidak transit
5,Seru hunting tiket mudik gratis walaupun belum berhasil dapat.. besok coba lagi pantang menyerah,seru hunting tiket mudik gratis walaupun belum berhasil dapat.. besok coba lagi pantang menyerah,seru hunting tiket mudik gratis walaupun belum berhasil dapat besok coba lagi pantang menyerah
5,Saya sdh coba daftar tpi blm ada tiket yg ready Besok mudah2an dpt tiket gratisnya,saya sdh coba daftar tpi blm ada tiket yg ready besok mudah2an dpt tiket gratisnya,saya  coba daftar    tiket  ready besok mudahan  tiket gratisnya
5,"Aplikasi mudik Gratis sangat membantu, mitra darat best banget","aplikasi mudik gratis sangat membantu, mitra darat best banget",aplikasi mudik gratis sangat membantu mitra darat best banget
5,Terimakasih sangat membantu buat mudik gratis nya. Semoga berkah. Sukses dan sehat selalu. Aamiiin 😊,terimakasih sangat membantu buat mudik gratis nya. semoga berkah. sukses dan sehat selalu. aamiiin 😊,terimakasih sangat membantu buat mudik gratis  semoga berkah sukses  sehat selalu aamiiin
5,Aplikasi untuk informasi perjalanan dan ada event Mudik Gratis tiap tahun,aplikasi untuk informasi perjalanan dan ada event mudik gratis tiap tahun,aplikasi untuk informasi perjalanan   event mudik gratis tiap tahun
5,"Baru liat aplikasi ini, he he he ini aja karena mau daftar mudik gratis, semoga dapat informasi2 penting lain ny disini","baru liat aplikasi ini, he he he ini aja karena mau daftar mudik gratis, semoga dapat informasi2 penting lain ny disini",baru liat aplikasi       karena  daftar mudik gratis semoga dapat informasi penting lain  disini
5,Sangat membantu di perjalanan,sangat membantu di perjalanan,sangat membantu  perjalanan
5,Sangat membantu saat cek mobil dan mudik gratis,sangat membantu saat cek mobil dan mudik gratis,sangat membantu saat  mobil  mudik gratis
5,"Sangat membantu, terima kasih semoga di pertahankan kualitasnya.","sangat membantu, terima kasih semoga di pertahankan kualitasnya.",sangat membantu terima kasih semoga  pertahankan kualitasnya
5,Aplikasi yang sangat bermanfaat. Jadi lebih mudah mengakses fasilitas Bus Trans Kota diberbagai daerah. 👍,aplikasi yang sangat bermanfaat. jadi lebih mudah mengakses fasilitas bus trans kota diberbagai daerah. 👍,aplikasi yang sangat bermanfaat jadi lebih mudah mengakses fasilitas  trans kota diberbagai daerah
5,"teruslah memberikan kontribusi untuk masyarakat luas, sangat membantu pengetahuan fasilitas umum","teruslah memberikan kontribusi untuk masyarakat luas, sangat membantu pengetahuan fasilitas umum",teruslah memberikan kontribusi untuk masyarakat luas sangat membantu pengetahuan fasilitas umum
5,mantaaap jadi bisa liat posisi bis sesuai tujuam kita .terima kasih,mantaaap jadi bisa liat posisi bis sesuai tujuam kita .terima kasih,mantaaap jadi bisa liat posisi  sesuai tujuam kita terima kasih
5,"Aplikasinya bagus sangat membantu, apa lagi kita bisa tau dimana letak posisi bus tersebut, sehingga bisa tepat waktu utk menunggunya. Pengalamanku pernah sampai lari, biar tdk ketinggalan bus tersebut, dan akhirnya sampai di tempat pemberhentian bus dgn tepat waktu","aplikasinya bagus sangat membantu, apa lagi kita bisa tau dimana letak posisi bus tersebut, sehingga bisa tepat waktu utk menunggunya. pengalamanku pernah sampai lari, biar tdk ketinggalan bus tersebut, dan akhirnya sampai di tempat pemberhentian bus dgn tepat waktu",aplikasinya bagus sangat membantu  lagi kita bisa  dimana letak posisi  tersebut sehingga bisa tepat waktu  menunggunya pengalamanku pernah sampai lari biar  ketinggalan  tersebut  akhirnya sampai  tempat pemberhentian   tepat waktu
5,Sgt sgt luar biasa pelayanannya sopan ramah keren,sgt sgt luar biasa pelayanannya sopan ramah keren,  luar biasa pelayanannya sopan ramah keren
5,sangat berguna untuk jalan2 naik transportasi umum,sangat berguna untuk jalan2 naik transportasi umum,sangat berguna untuk jalan naik transportasi umum
5,Aplikasi yang bermanfaat bagi pengguna angkutan bus. Mantaaapp..bagus..bermafaat..👍,aplikasi yang bermanfaat bagi pengguna angkutan bus. mantaaapp..bagus..bermafaat..👍,aplikasi yang bermanfaat bagi pengguna angkutan  mantaaappbagusbermafaat
5,"Recommended banget, bisa tau jadwal bus datang dan pergi jadi bisa prepare lebih efisien.","recommended banget, bisa tau jadwal bus datang dan pergi jadi bisa prepare lebih efisien.",recommended banget bisa  jadwal  datang  pergi jadi bisa prepare lebih efisien
5,sangat membantu sekali untuk mencari rute BRT dan memeriksa kelayakan jalan kendaraan umum,sangat membantu sekali untuk mencari rute brt dan memeriksa kelayakan jalan kendaraan umum,sangat membantu sekali untuk mencari rute   memeriksa kelayakan jalan kendaraan umum
5,Sangat membantu sekali untuk brangkat k Gianyar nganter anak sekolah tp sayang katanya udh gak br oprasi lg.pdhal besok mau k Gianyar JD bingung naik apa,sangat membantu sekali untuk brangkat k gianyar nganter anak sekolah tp sayang katanya udh gak br oprasi lg.pdhal besok mau k gianyar jd bingung naik apa,sangat membantu sekali untuk brangkat  gianyar nganter anak sekolah  sayang katanya    oprasi lgpdhal besok   gianyar  bingung naik 
5,"Sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""Teman Bus"" mahasiswa hanya dapat tarif 2000, sayangnya di Makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. Keadaan didalam bus sangat nyaman, bersih, dan ber-AC. Driver bus juga sangat informatif dan membantuu. Semoga kedepannya jalurnya bisa lebih banyak lagii.","sangat membantuu, aplikasi juga akurat dengan fitur-fitur yang berguna, terutama untuk ""teman bus"" mahasiswa hanya dapat tarif 2000, sayangnya di makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan. keadaan didalam bus sangat nyaman, bersih, dan ber-ac. driver bus juga sangat informatif dan membantuu. semoga kedepannya jalurnya bisa lebih banyak lagii.",sangat membantuu aplikasi juga akurat dengan fiturfitur yang berguna terutama untuk teman  mahasiswa hanya dapat tarif sayangnya  makassar jalurnya masih terbatas tapi sudah sangat memudahkan perjalanan keadaan didalam  sangat nyaman bersih  berac driver  juga sangat informatif  membantuu semoga kedepannya jalurnya bisa lebih banyak lagii
5,Saya hanya ingin titip pesan untuk semua pemerintah tolong di tambah kouta nya. Kasihan orang rantau yang belum bisa pulang ke kampung halamannya. Di karnakan tiket nya begitu mahal hingga 2-3x lipat. Terimakasih 🙏,saya hanya ingin titip pesan untuk semua pemerintah tolong di tambah kouta nya. kasihan orang rantau yang belum bisa pulang ke kampung halamannya. di karnakan tiket nya begitu mahal hingga 2-3x lipat. terimakasih 🙏,saya hanya ingin titip pesan untuk semua pemerintah tolong  tambah kouta  kasihan orang rantau yang belum bisa pulang  kampung halamannya  karnakan tiket  begitu mahal hingga  lipat terimakasih
5,"Baru tau ada aplikasi sekeren ini yang bisa pantau pergerakan bus secara akurat, bisa lihat di banyak kota sekaligus juga. Salah satu aplikasi paling bagus, stabil, ringan, dan berguna sejauh ini dari pemerintah. Maju terus layanan transportasi publik Indonesia.","baru tau ada aplikasi sekeren ini yang bisa pantau pergerakan bus secara akurat, bisa lihat di banyak kota sekaligus juga. salah satu aplikasi paling bagus, stabil, ringan, dan berguna sejauh ini dari pemerintah. maju terus layanan transportasi publik indonesia.",baru   aplikasi sekeren  yang bisa pantau pergerakan  secara akurat bisa lihat  banyak kota sekaligus juga salah satu aplikasi paling bagus stabil ringan  berguna sejauh  dari pemerintah maju terus layanan transportasi publik indonesia
5,"Saya berharap untuk bisa mendapatkan info mudik gratis melalui aplikasi mitra darat ini, terimakasih bapak/ibu yg lagi bertugas,semangat, ditunggu ya info mudik gratisnya segera dibuka,😄","saya berharap untuk bisa mendapatkan info mudik gratis melalui aplikasi mitra darat ini, terimakasih bapak/ibu yg lagi bertugas,semangat, ditunggu ya info mudik gratisnya segera dibuka,😄",saya berharap untuk bisa mendapatkan info mudik gratis melalui aplikasi mitra darat  terimakasih bapakibu  lagi bertugassemangat ditunggu  info mudik gratisnya segera dibuka
5,"Aplikasinya bagus dan sangat berguna dibandingkan dengan aplikasi sekelas lainnya. Minim bug, tracking sesuai, dan mencakup banyak kendaraan umum. UI nya pun bagus dan mudah digunakan.","aplikasinya bagus dan sangat berguna dibandingkan dengan aplikasi sekelas lainnya. minim bug, tracking sesuai, dan mencakup banyak kendaraan umum. ui nya pun bagus dan mudah digunakan.",aplikasinya bagus  sangat berguna dibandingkan dengan aplikasi sekelas lainnya minim  tracking sesuai  mencakup banyak kendaraan umum    bagus  mudah digunakan
5,Bintang 5 buat saya masuk mudik gratis nya gan,bintang 5 buat saya masuk mudik gratis nya gan,bintang buat saya masuk mudik gratis  
5,Mudah di gunakan untuk semua kalangan..,mudah di gunakan untuk semua kalangan..,mudah  gunakan untuk semua kalangan
5,Kenapa GK bisa log in lewat google ada tulisan merah klo mau log in??,kenapa gk bisa log in lewat google ada tulisan merah klo mau log in??,kenapa  bisa   lewat google  tulisan merah    
5,Terimakasih mitradarat untuk bantuannya,terimakasih mitradarat untuk bantuannya,terimakasih mitradarat untuk bantuannya
5,Koridor cikarang belum ada ya kak Tp aplikasi nya sangant membantu sekali,koridor cikarang belum ada ya kak tp aplikasi nya sangant membantu sekali,koridor cikarang belum     aplikasi  sangant membantu sekali
5,Agar dipermudah pendaftarannya,agar dipermudah pendaftarannya,agar dipermudah pendaftarannya
5,mana ney mudik gratis nya blom muncul di menu nya,mana ney mudik gratis nya blom muncul di menu nya,mana  mudik gratis  blom muncul  menu 
5,Sudah bagus apps nya tapi utk yg rute purbaya - tj perak tidak pernah update.. jadi susah banget ngedetect sampe mana busnya. Mohon lebih ditingkatkan lagi utk GPSnya supaya memudahkan,sudah bagus apps nya tapi utk yg rute purbaya - tj perak tidak pernah update.. jadi susah banget ngedetect sampe mana busnya. mohon lebih ditingkatkan lagi utk gpsnya supaya memudahkan,sudah bagus apps  tapi   rute purbaya  perak tidak pernah update jadi susah banget ngedetect sampe mana busnya mohon lebih ditingkatkan lagi  gpsnya supaya memudahkan
5,"Aplikasi ini sangat membantu dalam pemantauan bis dan letak pemberhentiannya, jadi tidak ketinggalan bus dan tau dalam mengestimasikan waktu, jangan dihilangkan yaa.","aplikasi ini sangat membantu dalam pemantauan bis dan letak pemberhentiannya, jadi tidak ketinggalan bus dan tau dalam mengestimasikan waktu, jangan dihilangkan yaa.",aplikasi  sangat membantu dalam pemantauan   letak pemberhentiannya jadi tidak ketinggalan    dalam mengestimasikan waktu jangan dihilangkan 
