score,content
5,"Buat bapak ibu terimakasih telah membuat aplikasi sebaik ini. Terharu aplikasi pemerintah ada yang seberguna ini, dibuktikan rating yang 4,7 memang sangat layak. Bintang 5 dari saya juga. Semoga Transjakarta bisa ikut kesini juga dan ui nya bisa lebih baik lagi 👍"
5,"Aplikasi yang sangat bagus dan berguna bagi masyarakat,,untuk saran update mungkin sebulan sekali khususnya menu AKAP karena moda transportasi indonesia skrng lgi maju²nya banyak unit PO besar sudah ber GPS,untuk updatnya tambah informasi sebanyak²nya dalam aplikasi tersebut terus update PO² swasta agar makin rame"
5,"Pelayanan ok, cuma sayang pendaftaran tarif khusus Biskita Bogor terkendala karena data pendaftar calon yg tidak update belum online dengan disdukcapil walaupun pendaftar sebenarnya sudah layak mendapatkan tarif khusus, mohon perhatiannya, agar biskita semakin di cintai oleh masyarakat transportasi."
5,Min sy dh login tp ko ga ada menu buat masukin No tlp / WA y.. Trs sy udah masuk ke menu Mudik Gratis setelah mengisi kota keberangkatan dan kota tujuan ko g ada muncul isi data yg mau daftarin y?? Tolong infonya y min mkasih...
5,"Aplikasinya bagus, ada penanda warna untuk tiap koridor. Tolong dibuatkan juga pilihan menu bahasa Inggris, dan perbanyak media sosialisasi di tempat strategis seperti bandara."
5,"Saya blm pernah berhasil daftar mudik gratis, tapi tetap tak kasih bintang ***** karena aplikasi ini dan program mudik gratis ini sangat-sangat membantu masyarakat yg membutuhkan. Tetap mawas diri dan perbaiki terus demi kebutuhan bersama. Terimakasih MitraDarat dan pemerintah yg mempunyai gagasan seperti ini. Semoga kita semua senantiasa di beri kesehatan jasmani & Rohani selalu bersyukur jg optimisme, positif thinking. Maju terus Indonesiaku jaya selalu negeriku."
5,Sudah bagus sih tapi saran untuk aplikasi untuk keterangan waktu berangkat ada bagusnya di tampilkann dan berapa menit perjalanan dari posisi bus ke pelanggan dikasih waktunya lebih dipermudah
5,"Fitur yang sangat mudah, tinggal tap tap ga bingung, berbagai informasi yang diberikan cukup jelas, sukses selalu mitra darat"
5,Aplikasi MitraDarat sangat recomended bagi teman-teman yang senang berpergian ke luar kota dengan menggunakan transportasi umum bus. Karena dengan aplikasi ini teman-teman bisa mengakses informasi rute dan melacak posisi bus di tiap-tiap daerah di Indonesia.
5,"Peningkatan dan pengembangan agar dapat melayani semua user secara nasional dg baik, mutlak harus benar2 dilakukan mengingat apk ini cukup penting bagi para user sehingga kedepan diharapkan tdk terjadi lagi gagal loading dsbnya.. Secara umum saya apresiasi d g bintang 4 dulu ya..🇮🇩🇮🇩👍💪"
5,"Min mautanya, kenapa tampilan yang didownload setelah tanggal 8 Maret cuma hanya ada opsi tracking BUS dan cek LAIK? Sedangkan di gambar contoh ada lebih dari itu"
5,"Terimakasih Kemenhub dan Ditjet hub berkat aplikasi *mitradarat*,, daftar mudik gratis lebih mudah dan efisien,, Lebih tingkatkan performanya dan semoga makin maju"
5,"masih banyak fitur ayang gak bisa di buka,khusus mudik gratis banyak tiket yang tidak tersedia, harusnya di persiapkan dulu semuanya sebelum lounching aplikasinya."
5,terbantu banget buat tracking biskita. dan real time
5,Sangat bermanfaat untuk penguna kendaraan jalur darat dan sangat berguna untuk mudik lebaran dengan diadakanya mudik bersama gratis melalui aplikasi yang mudah dilakukan pendaftaranya dan teratur dari pada harus antri panjang secara offline.
5,terimakasih ke kemenhub untuk aplikasi nya sgt membantu saya saat berpergian ke kota lain
5,membantu banget untuk liat posisi armada
5,"sangat membantu untuk pertama kali naik biskita Bekasi, jadi ga kesasar hahha"
5,"Aplikasi mudik Gratis sangat membantu, mitra darat best banget"
5,Terimakasih sangat membantu buat mudik gratis nya. Semoga berkah. Sukses dan sehat selalu. Aamiiin 😊
5,Aplikasi untuk informasi perjalanan dan ada event Mudik Gratis tiap tahun
5,"Sangat membantu, dan bisa menjadi lebih baik lagi 💯💯💯"
5,Mitra darat acuan untuk naik angkutan publik yang sangat membantu
5,"Aplikasi nya sudah bagus, dan sangat bermanfaat"
5,"Aplikasi yang bagus karena bisa tracking bus secara live, dan saya berharap akan lebih bagus lagi bila ada widget yg memudahkan untuk melihat kedatangan jadwal bus dari halte favorit kita"
5,untuk rute Biskita Trans wibawa mukti semoga bisa segera di trucking via app mitra darat.
5,Supaya lebih fungsional coba bisa dipakai sebagai pesan tiket dan informasi realtime kedatangan dan keberangkatan bus.
5,"sayang sekali untuk bis sebagai transportasi massal tapi di hilangkan beberapa koridor dimakassar disisahkan cuma satu koridor, sangat disayang kan."
5,"Sangat membantu, terima kasih semoga di pertahankan kualitasnya."
5,"teruslah memberikan kontribusi untuk masyarakat luas, sangat membantu pengetahuan fasilitas umum"
5,Seru hunting tiket mudik gratis walaupun belum berhasil dapat.. besok coba lagi pantang menyerah
5,mantaaap jadi bisa liat posisi bis sesuai tujuam kita .terima kasih
5,Saya sdh coba daftar tpi blm ada tiket yg ready Besok mudah2an dpt tiket gratisnya
5,Sgt sgt luar biasa pelayanannya sopan ramah keren
5,Sangat membantu saat cek mobil dan mudik gratis
5,"Alkhamdulillah sudah menunggu sekian lamatp blm bisa juga , tp tetep aku kasih bintang lima karna aku menghargai pemerintahdalam berupaya membantu meringankan beban rakyat kecil di program mudikgratis ini , semoga bermanfaat bagi yg sudah bisa"
5,sangat berguna untuk jalan2 naik transportasi umum
5,"Baru liat aplikasi ini, he he he ini aja karena mau daftar mudik gratis, semoga dapat informasi2 penting lain ny disini"
5,Sangat membantu di perjalanan
5,Saya sangat sedih bis Makassar kegalesong dihentikan.padahal sangat membatu bila kita ingin kota.terim kasih sopir-sopirnya sangat baik dan ramah bis mamminasata
5,aplikasinya bagus bisa memudahkan mencari jurusan ataupun rute bus yang di inginkan.
5,"Saya login kemarin gak bisa,, failed terus,, hari ini login tp tidak dimintai nomor telpon?? Jd kayak versi sebelumnya?? Cara daftar mudik gratisnya gimana??"
5,"sayaa pengguna batik solo trans merasa terbantu dengan aplikasi mitra darat ini, jadi lebih bisa prepare kalau mau naik bus💅"
5,sangat bagus. terima kasih setiap tahun mengadakan mudik gratis. tapi saya sampai saat ini belum bisa menikmati mudik gratis setiap daftar melalui mitra darat selalu tiket habis. apa benar tiket sudah habis.
