content,case folding,tokenizing,normalisasi,stemming teks,filtering-teks
aplikasi ga jelas masih banyak kendala yang harus diperbaiki!!,aplikasi  jelas masih banyak kendala yang harus diperbaiki,"['aplikasi', 'jelas', 'masih', 'banyak', 'kendala', 'yang', 'harus', 'diperbaiki']","['aplikasi', 'jelas', 'masih', 'banyak', 'masalah', 'yang', 'harus', 'diperbaiki']","['aplikasi', 'jelas', 'masih', 'banyak', 'masalah', 'yang', 'harus', 'baik']",['aplikasi']
"bug nya parah bgt, respon admin jg sprtinha kewalahan jd baru di balas 3hari ini setiap mau pesan jg selalu tdk ditemukan jadwal tapi sekalinya bs tiketnya udh abis, jadi ngga bisa kumpul keluarga deh karna tiket udah pada abis pd sinyal bagus bgt tp tetep bug parah dr aplikasinya. mksh",  parah  respon admin  sprtinha kewalahan  baru  balas hari  setiap  pesan  selalu  ditemukan jadwal tapi sekalinya  tiketnya  abis jadi ngga bisa kumpul keluarga  karna tiket udah pada abis  sinyal bagus   tetep  parah  aplikasinya mksh,"['parah', 'respon', 'admin', 'sprtinha', 'kewalahan', 'baru', 'balas', 'hari', 'setiap', 'pesan', 'selalu', 'ditemukan', 'jadwal', 'tapi', 'sekalinya', 'tiketnya', 'abis', 'jadi', 'ngga', 'bisa', 'kumpul', 'keluarga', 'karna', 'tiket', 'udah', 'pada', 'abis', 'sinyal', 'bagus', 'tetep', 'parah', 'aplikasinya', 'mksh']","['parah', 'respons', 'admin', 'sprtinha', 'kewalahan', 'baru', 'balas', 'hari', 'setiap', 'pesan', 'selalu', 'ditemukan', 'jadwal', 'tetapi', 'sekalinya', 'tiketnya', 'abis', 'sehingga', 'tidak', 'bisa', 'kumpul', 'keluarga', 'karena', 'tiket', 'sudah', 'banyak', 'orang', 'abis', 'sinyal', 'bagus', 'tetap', 'parah', 'aplikasi', 'nya', 'terima', 'kasih']","['parah', 'respons', 'admin', 'sprtinha', 'kewalahan', 'baru', 'balas', 'hari', 'tiap', 'pesan', 'selalu', 'temu', 'jadwal', 'tetapi', 'sekali', 'tiket', 'abis', 'sehingga', 'tidak', 'bisa', 'kumpul', 'keluarga', 'karena', 'tiket', 'sudah', 'banyak', 'orang', 'abis', 'sinyal', 'bagus', 'tetap', 'parah', 'aplikasi', 'nya', 'terima', 'kasih']","['parah', 'respons', 'admin', 'sprtinha', 'kewalahan', 'balas', 'pesan', 'temu', 'jadwal', 'tiket', 'abis', 'kumpul', 'keluarga', 'tiket', 'orang', 'abis', 'sinyal', 'bagus', 'parah', 'aplikasi', 'terima', 'kasih']"
"aplikasi gajelas disuruh booking ka lokal h-7, pas mau booking jam 00.00 malah timeout mulu trus nanti tiba' tiketnya abis, tolong perbaiki bug nya KAI",aplikasi gajelas disuruh booking  lokal    booking  malah timeout mulu trus nanti tiba tiketnya abis tolong perbaiki   kai,"['aplikasi', 'gajelas', 'disuruh', 'booking', 'lokal', 'booking', 'malah', 'timeout', 'mulu', 'trus', 'nanti', 'tiba', 'tiketnya', 'abis', 'tolong', 'perbaiki', 'kai']","['aplikasi', 'gajelas', 'disuruh', 'pemesanan', 'lokal', 'pemesanan', 'namun', 'habis', 'Waktu', 'terus', 'kemudian', 'nanti', 'tiba', 'tiketnya', 'abis', 'tolong', 'perbaiki', 'kai']","['aplikasi', 'gajelas', 'suruh', 'mesan', 'lokal', 'mesan', 'namun', 'habis', 'waktu', 'terus', 'kemudian', 'nanti', 'tiba', 'tiket', 'abis', 'tolong', 'baik', 'kai']","['aplikasi', 'gajelas', 'suruh', 'mesan', 'lokal', 'mesan', 'habis', 'tiket', 'abis', 'tolong', 'kai']"
"apaan dah pesen selalu ngelag, tiba-tiba time out, pas udah bisa malah kursinya abis",apaan  pesen selalu ngelag tibatiba time   udah bisa malah kursinya abis,"['apaan', 'pesen', 'selalu', 'ngelag', 'tibatiba', 'time', 'udah', 'bisa', 'malah', 'kursinya', 'abis']","['apaan', 'pesan', 'selalu', 'gangguan', 'tiba', 'time', 'sudah', 'bisa', 'namun', 'kursinya', 'abis']","['apa', 'pesan', 'selalu', 'ganggu', 'tiba', 'time', 'sudah', 'bisa', 'namun', 'kursi', 'abis']","['pesan', 'ganggu', 'time', 'kursi', 'abis']"
"lucu sekali aplikasi ini, beli tiket kereta lokal H-7 jadwal tidak ditemukan terus setelah itu time out dan setelah muncul jadwal malah habis. sekelas BUMN malah nyusahin rakyat.",lucu sekali aplikasi  beli tiket kereta lokal  jadwal tidak ditemukan terus setelah  time   setelah muncul jadwal malah habis sekelas bumn malah nyusahin rakyat,"['lucu', 'sekali', 'aplikasi', 'beli', 'tiket', 'kereta', 'lokal', 'jadwal', 'tidak', 'ditemukan', 'terus', 'setelah', 'time', 'setelah', 'muncul', 'jadwal', 'malah', 'habis', 'sekelas', 'bumn', 'malah', 'nyusahin', 'rakyat']","['lucu', 'sekali', 'aplikasi', 'beli', 'tiket', 'kereta', 'lokal', 'jadwal', 'tidak', 'ditemukan', 'kemudian', 'setelah', 'time', 'setelah', 'muncul', 'jadwal', 'namun', 'habis', 'sekelas', 'bumn', 'namun', 'nyusahin', 'rakyat']","['lucu', 'sekali', 'aplikasi', 'beli', 'tiket', 'kereta', 'lokal', 'jadwal', 'tidak', 'temu', 'kemudian', 'telah', 'time', 'telah', 'muncul', 'jadwal', 'namun', 'habis', 'kelas', 'bumn', 'namun', 'nyusahin', 'rakyat']","['lucu', 'aplikasi', 'beli', 'tiket', 'kereta', 'lokal', 'jadwal', 'temu', 'time', 'muncul', 'jadwal', 'habis', 'kelas', 'bumn', 'nyusahin', 'rakyat']"
"tolong dong kai, kl ad bintang mines ku kasih mines. plis tolong dibuat ringan aj, itu aplikasi d akses org banyak lemotnya masya Allah. tolonglah, diperbaiki lagi sumpah beli tiket kereta aja rasanya mau nangis😭knp lemot bgt.",tolong dong kai   bintang mines  kasih mines plis tolong dibuat ringan   aplikasi  akses  banyak lemotnya masya allah tolonglah diperbaiki lagi sumpah beli tiket kereta  rasanya  nangisknp lemot ,"['tolong', 'dong', 'kai', 'bintang', 'mines', 'kasih', 'mines', 'plis', 'tolong', 'dibuat', 'ringan', 'aplikasi', 'akses', 'banyak', 'lemotnya', 'masya', 'allah', 'tolonglah', 'diperbaiki', 'lagi', 'sumpah', 'beli', 'tiket', 'kereta', 'rasanya', 'nangisknp', 'lemot']","['tolong', 'dong', 'kai', 'bintang', 'mines', 'kasih', 'mines', 'plis', 'tolong', 'dibuat', 'ringan', 'aplikasi', 'akses', 'banyak', 'lemotnya', 'masya', 'allah', 'tolonglah', 'diperbaiki', 'lagi', 'sumpah', 'beli', 'tiket', 'kereta', 'rasanya', 'nangisknp', 'lambat']","['tolong', 'dong', 'kai', 'bintang', 'mes', 'kasih', 'mes', 'plis', 'tolong', 'buat', 'ringan', 'aplikasi', 'akses', 'banyak', 'lot', 'masya', 'allah', 'tolong', 'baik', 'lagi', 'sumpah', 'beli', 'tiket', 'kereta', 'rasa', 'nangisknp', 'lambat']","['tolong', 'kai', 'bintang', 'mes', 'kasih', 'mes', 'plis', 'tolong', 'ringan', 'aplikasi', 'akses', 'lot', 'masya', 'tolong', 'sumpah', 'beli', 'tiket', 'kereta', 'nangisknp', 'lambat']"
bilangnya maintance tapi pas bisa tiket sudah penuh!!,bilangnya maintance tapi  bisa tiket sudah penuh,"['bilangnya', 'maintance', 'tapi', 'bisa', 'tiket', 'sudah', 'penuh']","['bilangnya', 'maintance', 'tetapi', 'bisa', 'tiket', 'sudah', 'penuh']","['bilang', 'maintance', 'tetapi', 'bisa', 'tiket', 'sudah', 'penuh']","['maintance', 'tiket', 'penuh']"
"asli aplikasinya sekarang makin jelek. dulu mau serame apapun yang akses masih lancar, sekarang apa banget deh gak jelas",asli aplikasinya sekarang makin jelek dulu  serame apapun yang akses masih lancar sekarang  banget   jelas,"['asli', 'aplikasinya', 'sekarang', 'makin', 'jelek', 'dulu', 'serame', 'apapun', 'yang', 'akses', 'masih', 'lancar', 'sekarang', 'banget', 'jelas']","['asli', 'aplikasi', 'nya', 'sekarang', 'semakin', 'jelek', 'dahulu', 'serame', 'apapun', 'yang', 'akses', 'masih', 'lancar', 'sekarang', 'sekali', 'jelas']","['asli', 'aplikasi', 'nya', 'sekarang', 'makin', 'jelek', 'dahulu', 'serame', 'apa', 'yang', 'akses', 'masih', 'lancar', 'sekarang', 'sekali', 'jelas']","['asli', 'aplikasi', 'jelek', 'serame', 'akses', 'lancar']"
Aplikasi apa ini sering TIMEOUT 🗿🗿🗿🗿🗿,aplikasi   sering timeout,"['aplikasi', 'sering', 'timeout']","['aplikasi', 'sering', 'habis', 'Waktu']","['aplikasi', 'sering', 'habis', 'waktu']","['aplikasi', 'habis']"
"kebanyakan error, mau pesen tiket jadi susah",kebanyakan error  pesen tiket jadi susah,"['kebanyakan', 'error', 'pesen', 'tiket', 'jadi', 'susah']","['kebanyakan', 'kesalahan', 'pesan', 'tiket', 'sehingga', 'sulit']","['banyak', 'salah', 'pesan', 'tiket', 'sehingga', 'sulit']","['salah', 'pesan', 'tiket', 'sulit']"
