score,content,case folding,remove punctuation,stopword,normalized,stemming teks,token count
5,Mantul Gan. Tp low bsa... D tambahkan notifikasi terkesediaan kursi scr berkala apabila telah terjadi pembatalan or schedule kursi untuk kereta yg telah full sebel ya. Sehingga bagi calon pnmpang yg butuh kursi bsa lgsg tau. Dan booking gan. Terima kasih,mantul gan. tp low bsa... d tambahkan notifikasi terkesediaan kursi scr berkala apabila telah terjadi pembatalan or schedule kursi untuk kereta yg telah full sebel ya. sehingga bagi calon pnmpang yg butuh kursi bsa lgsg tau. dan booking gan. terima kasih,mantul      tambahkan notifikasi terkesediaan kursi  berkala apabila telah terjadi pembatalan  schedule kursi untuk kereta  telah full sebel  sehingga bagi calon pnmpang  butuh kursi  lgsg   booking  terima kasih,"['mantul', 'tambahkan', 'notifikasi', 'terkesediaan', 'kursi', 'berkala', 'pembatalan', 'schedule', 'kursi', 'kereta', 'full', 'sebel', 'calon', 'pnmpang', 'butuh', 'kursi', 'lgsg', 'booking', 'terima', 'kasih']","['mantap', 'sekali', 'tambahkan', 'notifikasi', 'terkesediaan', 'kursi', 'berkala', 'pembatalan', 'jadwal', 'kursi', 'kereta', 'penuh', 'sebal', 'calon', 'penumpang', 'membutuhkan', 'kursi', 'langsung', 'pemesanan', 'terima', 'kasih']","['mantap', 'sekali', 'tambah', 'notifikasi', 'sedia', 'kursi', 'kala', 'batal', 'jadwal', 'kursi', 'kereta', 'penuh', 'sebal', 'calon', 'tumpang', 'butuh', 'kursi', 'langsung', 'mesan', 'terima', 'kasih']",21
5,"Aplikasi yg sangat bermanfaat, bs pesan tiket kereta jarak jauh, kereta lokal jg bs loh.. Praktis dan sangat membantu.. Semoga kereta api indonesia semakin maju dan sukses.","aplikasi yg sangat bermanfaat, bs pesan tiket kereta jarak jauh, kereta lokal jg bs loh.. praktis dan sangat membantu.. semoga kereta api indonesia semakin maju dan sukses.",aplikasi  sangat bermanfaat  pesan tiket kereta jarak jauh kereta lokal    praktis  sangat membantu semoga kereta  indonesia semakin maju  sukses,"['aplikasi', 'bermanfaat', 'pesan', 'tiket', 'kereta', 'jarak', 'kereta', 'lokal', 'praktis', 'membantu', 'semoga', 'kereta', 'indonesia', 'maju', 'sukses']","['aplikasi', 'bermanfaat', 'pesan', 'tiket', 'kereta', 'jarak', 'kereta', 'lokal', 'praktis', 'membantu', 'semoga', 'kereta', 'indonesia', 'maju', 'sukses']","['aplikasi', 'manfaat', 'pesan', 'tiket', 'kereta', 'jarak', 'kereta', 'lokal', 'praktis', 'bantu', 'moga', 'kereta', 'indonesia', 'maju', 'sukses']",15
5,"sangat membantu. awalnya saya kira ga bisa buat batalin karna pertama masuk di bilang ga punya tiket. padahal saya punya tiket, setelah saya otak atik harus di tambahkan ke tiket dulu trus di masukin kode booking. baru deh bisa di batalin + ubah perjalanan","sangat membantu. awalnya saya kira ga bisa buat batalin karna pertama masuk di bilang ga punya tiket. padahal saya punya tiket, setelah saya otak atik harus di tambahkan ke tiket dulu trus di masukin kode booking. baru deh bisa di batalin + ubah perjalanan",sangat membantu awalnya saya kira  bisa buat batalin karna pertama masuk  bilang  punya tiket padahal saya punya tiket setelah saya otak atik harus  tambahkan  tiket dulu trus  masukin kode booking baru  bisa  batalin ubah perjalanan,"['membantu', 'batalin', 'karna', 'masuk', 'tiket', 'tiket', 'otak', 'atik', 'tambahkan', 'tiket', 'trus', 'masukin', 'kode', 'booking', 'batalin', 'ubah', 'perjalanan']","['membantu', 'membatalkan', 'karena', 'masuk', 'tiket', 'otak', 'atik', 'tambahkan', 'tiket', 'lalu', 'masukkan', 'kode', 'pemesanan', 'membatalkan', 'ubah', 'perjalanan']","['bantu', 'batal', 'karena', 'masuk', 'tiket', 'otak', 'atik', 'tambah', 'tiket', 'lalu', 'masuk', 'kode', 'mesan', 'batal', 'ubah', 'jalan']",16
5,Saran Metode Pemayaran kalau bisa di perbanyak lagi seperti Dana - Gopay - Shoppee Pay di ada kan jga. supaya penumpang pengguna KAI Access bisa dengan Mudah Menggunakan Pembayaran nya. tolong di perbaharui Metode Prmbayaran nya Min. terimakasih.,saran metode pemayaran kalau bisa di perbanyak lagi seperti dana - gopay - shoppee pay di ada kan jga. supaya penumpang pengguna kai access bisa dengan mudah menggunakan pembayaran nya. tolong di perbaharui metode prmbayaran nya min. terimakasih.,saran metode pemayaran kalau bisa  perbanyak lagi seperti dana gopay shoppee      supaya penumpang pengguna  access bisa dengan mudah menggunakan pembayaran  tolong  perbaharui metode prmbayaran   terimakasih,"['saran', 'metode', 'pemayaran', 'perbanyak', 'dana', 'gopay', 'shoppee', 'penumpang', 'pengguna', 'access', 'mudah', 'pembayaran', 'tolong', 'perbaharui', 'metode', 'prmbayaran', 'terimakasih']","['saran', 'metode', 'pembayaran', 'diperbanyak', 'dana', 'gopay', 'shoppee', 'penumpang', 'pengguna', 'access', 'mudah', 'pembayaran', 'tolong', 'perbaharui', 'metode', 'pembayaran', 'terima', 'kasih']","['saran', 'metode', 'bayar', 'banyak', 'dana', 'gopay', 'shoppee', 'tumpang', 'guna', 'access', 'mudah', 'bayar', 'tolong', 'baharu', 'metode', 'bayar', 'terima', 'kasih']",18
5,"Tampilan Baru Dari KAI Access, Tampilan Yng User Frandly, Walau Masih Sedikit Bug, Semoga Dengan Tampilan Baru Lebih Satset dan Mudah Dalam Memesan Tiket, Dan Yang Paling Penting Banyak Metode Pembayrannya.","tampilan baru dari kai access, tampilan yng user frandly, walau masih sedikit bug, semoga dengan tampilan baru lebih satset dan mudah dalam memesan tiket, dan yang paling penting banyak metode pembayrannya.",tampilan baru dari  access tampilan  user frandly walau masih sedikit  semoga dengan tampilan baru lebih satset  mudah dalam memesan tiket  yang paling penting banyak metode pembayrannya,"['tampilan', 'access', 'tampilan', 'user', 'frandly', 'semoga', 'tampilan', 'satset', 'mudah', 'memesan', 'tiket', 'metode', 'pembayrannya']","['tampilan', 'access', 'tampilan', 'pengguna', 'frandly', 'semoga', 'tampilan', 'tanggap', 'mudah', 'memesan', 'tiket', 'metode', 'pembayarannya']","['tampil', 'access', 'tampil', 'guna', 'frandly', 'moga', 'tampil', 'tanggap', 'mudah', 'mes', 'tiket', 'metode', 'bayar']",13
5,"Selama ini pelayannan nya sangat bagus, tapi kurang memuaskan Kalau bisa tambahin metode pembayarannya. Via OVO, atau yang lainnya. Jadi bisa lebih mempermudah calon penumpang untuk membayar tiket pesanannya.","selama ini pelayannan nya sangat bagus, tapi kurang memuaskan kalau bisa tambahin metode pembayarannya. via ovo, atau yang lainnya. jadi bisa lebih mempermudah calon penumpang untuk membayar tiket pesanannya.",selama  pelayannan  sangat bagus tapi kurang memuaskan kalau bisa tambahin metode pembayarannya   atau yang lainnya jadi bisa lebih mempermudah calon penumpang untuk membayar tiket pesanannya,"['pelayannan', 'bagus', 'memuaskan', 'tambahin', 'metode', 'pembayarannya', 'mempermudah', 'calon', 'penumpang', 'membayar', 'tiket', 'pesanannya']","['pelayanan', 'bagus', 'memuaskan', 'tambahin', 'metode', 'pembayarannya', 'mempermudah', 'calon', 'penumpang', 'membayar', 'tiket', 'pesanannya']","['layan', 'bagus', 'muas', 'tambahin', 'metode', 'bayar', 'mudah', 'calon', 'tumpang', 'bayar', 'tiket', 'pesan']",12
5,"aplikasi ini bagus, cm kurangnya ketika ingin mencari hotel, belum bisa memilih semua bintang hotel.","aplikasi ini bagus, cm kurangnya ketika ingin mencari hotel, belum bisa memilih semua bintang hotel.",aplikasi  bagus  kurangnya ketika ingin mencari hotel belum bisa memilih semua bintang hotel,"['aplikasi', 'bagus', 'kurangnya', 'mencari', 'hotel', 'memilih', 'bintang', 'hotel']","['aplikasi', 'bagus', 'kekurangannya', 'mencari', 'hotel', 'memilih', 'bintang', 'hotel']","['aplikasi', 'bagus', 'kurang', 'cari', 'hotel', 'pilih', 'bintang', 'hotel']",8
5,"Mau tanya nih, kalo udah daftar kan udah punya akun, trus tiba2 ilang .. Naahh pas mau masukk itu salah semua email sama passwordnya .. Itu gimana yaa solusinyaa 🙏🙏 Apa perlu hapus akun, terus buat lagi ? Tapi cara hapus akunnya gimana ? Mohon pencerahannya ya.","mau tanya nih, kalo udah daftar kan udah punya akun, trus tiba2 ilang .. naahh pas mau masukk itu salah semua email sama passwordnya .. itu gimana yaa solusinyaa 🙏🙏 apa perlu hapus akun, terus buat lagi ? tapi cara hapus akunnya gimana ? mohon pencerahannya ya.", tanya  kalo udah daftar  udah punya akun trus tiba ilang naahh   masukk  salah semua email sama passwordnya  gimana  solusinyaa  perlu hapus akun terus buat lagi tapi cara hapus akunnya gimana mohon pencerahannya ,"['udah', 'daftar', 'udah', 'akun', 'trus', 'ilang', 'naahh', 'masukk', 'salah', 'email', 'passwordnya', 'gimana', 'solusinyaa', 'hapus', 'akun', 'hapus', 'akunnya', 'gimana', 'mohon', 'pencerahannya']","['sudah', 'daftar', 'sudah', 'akun', 'lalu', 'hilang', 'nah', 'masukk', 'salah', 'email', 'passwordnya', 'bagaimana', 'solusinyaa', 'hapus', 'akun', 'hapus', 'akunnya', 'bagaimana', 'mohon', 'pencerahannya']","['sudah', 'daftar', 'sudah', 'akun', 'lalu', 'hilang', 'nah', 'masukk', 'salah', 'email', 'passwordnya', 'bagaimana', 'solusinyaa', 'hapus', 'akun', 'hapus', 'akun', 'bagaimana', 'mohon', 'cerah']",20
5,"Aplikasi KAI ACCESS,sengat membantu dan memudahkan,baik di kantor atau di rumah sudah bisa pesen tiket.biar makin nyaman ada program antar jemput untuk pelanggan biar tambah nyaman.","aplikasi kai access,sengat membantu dan memudahkan,baik di kantor atau di rumah sudah bisa pesen tiket.biar makin nyaman ada program antar jemput untuk pelanggan biar tambah nyaman.",aplikasi  accesssengat membantu  memudahkanbaik  kantor atau  rumah sudah bisa pesen tiketbiar makin nyaman  program antar jemput untuk pelanggan biar tambah nyaman,"['aplikasi', 'accesssengat', 'membantu', 'memudahkanbaik', 'kantor', 'rumah', 'pesen', 'tiketbiar', 'nyaman', 'program', 'jemput', 'pelanggan', 'nyaman']","['aplikasi', 'access', 'sangat', 'membantu', 'memudahkan', 'baik', 'kantor', 'rumah', 'pesan', 'tiket', 'agar', 'nyaman', 'program', 'jemput', 'pelanggan', 'nyaman']","['aplikasi', 'access', 'sangat', 'bantu', 'mudah', 'baik', 'kantor', 'rumah', 'pesan', 'tiket', 'agar', 'nyaman', 'program', 'jemput', 'langgan', 'nyaman']",16
5,"Knapa setelah update history perjalanan hilang dan harus masuk kembalin , email yang biasa dipake ketika masuk katanya tidak terdaftar , padahal sudah biasa dapet email bukti pembayaran","knapa setelah update history perjalanan hilang dan harus masuk kembalin , email yang biasa dipake ketika masuk katanya tidak terdaftar , padahal sudah biasa dapet email bukti pembayaran",knapa setelah update history perjalanan hilang  harus masuk kembalin email yang biasa dipake ketika masuk katanya tidak terdaftar padahal sudah biasa dapet email bukti pembayaran,"['knapa', 'update', 'history', 'perjalanan', 'hilang', 'masuk', 'kembalin', 'email', 'dipake', 'masuk', 'terdaftar', 'dapet', 'email', 'bukti', 'pembayaran']","['kenapa', 'pembaruan', 'riwayat', 'perjalanan', 'hilang', 'masuk', 'kembalin', 'email', 'dipakai', 'masuk', 'terdaftar', 'dapatenggak', ':', 'tidak', 'email', 'bukti', 'pembayaran']","['kenapa', 'baru', 'riwayat', 'jalan', 'hilang', 'masuk', 'kembalin', 'email', 'pakai', 'masuk', 'daftar', 'dapatenggak', '', 'tidak', 'email', 'bukti', 'bayar']",17
5,"ini bagaiman sih pt.Kai jgn bikin bingung udah registrasi berhasil lah kok pas login mau masuk aja susah username aalah lah atau passwirdnya padahal udah berkali2 di cek tetep gg bisa,tolong jgn di bikin bingung membuat masyarakat susah aja","ini bagaiman sih pt.kai jgn bikin bingung udah registrasi berhasil lah kok pas login mau masuk aja susah username aalah lah atau passwirdnya padahal udah berkali2 di cek tetep gg bisa,tolong jgn di bikin bingung membuat masyarakat susah aja", bagaiman  ptkai  bikin bingung udah registrasi berhasil    login  masuk  susah username aalah  atau passwirdnya padahal udah berkali   tetep  bisatolong   bikin bingung membuat masyarakat susah ,"['bagaiman', 'ptkai', 'bingung', 'udah', 'registrasi', 'berhasil', 'login', 'masuk', 'susah', 'username', 'aalah', 'passwirdnya', 'udah', 'berkali', 'tetep', 'bisatolong', 'bingung', 'masyarakat', 'susah']","['bagaiman', 'pt', 'kai', 'bingung', 'sudah', 'pendaftaran', 'berhasil', 'masuk', 'aplikasi', 'masuk', 'sulit', 'nama', 'pengguna', 'salah', 'passwordnya', 'sudah', 'berkali', 'tetap', 'bisa', 'tolong', 'bingung', 'masyarakat', 'sulit']","['bagaiman', 'pt', 'kai', 'bingung', 'sudah', 'daftar', 'hasil', 'masuk', 'aplikasi', 'masuk', 'sulit', 'nama', 'guna', 'salah', 'passwordnya', 'sudah', 'kali', 'tetap', 'bisa', 'tolong', 'bingung', 'masyarakat', 'sulit']",23
5,saya hendak memesan tiket kereta api online. tetapi tujuan stasiun saya tidak muncul (data tidak dapat ditampilkan) bagaimana ini? dan juga untuk perjalanan yg sudah selesai biasanya akan berganti dari 'Lunas' ke 'Selesai' tetapi punya saya tidak ganti tetap tertulis 'Lunas'. mohon bantuannya,saya hendak memesan tiket kereta api online. tetapi tujuan stasiun saya tidak muncul (data tidak dapat ditampilkan) bagaimana ini? dan juga untuk perjalanan yg sudah selesai biasanya akan berganti dari 'lunas' ke 'selesai' tetapi punya saya tidak ganti tetap tertulis 'lunas'. mohon bantuannya,saya hendak memesan tiket kereta  online tetapi tujuan stasiun saya tidak muncul data tidak dapat ditampilkan bagaimana   juga untuk perjalanan  sudah selesai biasanya akan berganti dari lunas  selesai tetapi punya saya tidak ganti tetap tertulis lunas mohon bantuannya,"['memesan', 'tiket', 'kereta', 'online', 'tujuan', 'stasiun', 'muncul', 'data', 'ditampilkan', 'perjalanan', 'selesai', 'berganti', 'lunas', 'selesai', 'ganti', 'tertulis', 'lunas', 'mohon', 'bantuannya']","['memesan', 'tiket', 'kereta', 'online', 'tujuan', 'stasiun', 'muncul', 'data', 'ditampilkan', 'perjalanan', 'selesai', 'berganti', 'lunas', 'selesai', 'ubah', 'tertulis', 'lunas', 'mohon', 'bantuannya']","['mes', 'tiket', 'kereta', 'online', 'tuju', 'stasiun', 'muncul', 'data', 'tampil', 'jalan', 'selesai', 'ganti', 'lunas', 'selesai', 'ubah', 'tulis', 'lunas', 'mohon', 'bantu']",19
