score,content
5,Alhamdulillah kami sekeluarga menikmati nya bepergian dengan santai dan nyaman
5,"mempermudah segalanya.,., terimkasih"
5,"Bagus, cuman kenapa saya pesen online selalu saat di gerbong di sebelah saya ada orang padahal harusnya social distancing, saya Sampat kesal mau beli 3 aja biar tidak ada yang di sebelah saya dan keluarga tapi y tidak bisa. Tolong di perbaiki masalah itu soalnya pada saat di gerbong saya jadi gak jelas duduknya malah numpang tempat duduk orang lain biar sedikit social distancing, btw di sebelah saya yang harusnya tidak ada mereka yang beli tiket di kereta langsung. (KA Lokal Merak-Rangkasbitung)"
5,Aplikasi sangat bagus sekali lebih mudah sekarang tanpa ribet booking lagi
5,"Bagus..tpi kecewa,bayar menggunakan atm mandiri..ketika pakai atm mandiri link kena biaya admin dan lagi,biaya admin tidak diperlihatkan dilayar...ketahuanya biaya admin distruk/nota pembayaran...klau pembayaran via atm bca/atm mandiri langsung..tidak dikenakan biaya."
5,lebih mudah untuk memesan tiket
5,"Nyaman aja dipakai, tidak ada kendala sedikitpun.. yang ngomong jelek, emang lu gk pantes pake apk ini. Dah lebih dari 38 perjalanan sendiri bahkan bareng"" pesen tiketnya.. normal aja tuh. Rekomended buat yang gk mau ribet ngurus tiket manual."
5,"Di update malah ga bisa diakses, ini seriusan ngadaiin promo ga ? Dipermudah dong akses pesen nya, masa saya gagal mulu mau pesen tiket , koneksi sudah pake wifi buka app lain kenceng cuman di kai aja bilang suruh cek koneksi , haduh mendekati promo kok malah gini , mau menikmati promo ini saya , mohon developernya segera diperbaiki ya , nanti saya naikan ratingnya kalo sudah bener"
5,"Mantab👍 perjalanan bagi para pemudik dg transportasi kereta api jarak jauh sangat membantu di applikasi ini, pesan tiket lebih cepat gak perlu kemana-mana duduk manis tinggal klik dah, akan tetapi dlm menghadapi lebaran thn ini 2024 susah banget untuk pemesanannya proses dlm antrian terus estimasi menitnya sering berubah, dari jam 00-01 masih blm juga ke daftar rincian kereta giliran ke buka dan klik nama kereta dan masuk mode penumpang terus klik selanjutnya kondisi muter-muter terus"
5,maret 2025. kai access udh makin bagus pol
5,"Jujur kemarin sempet emosi karena eror terus tapi setelah di uninstall trs instal lagi atau instal ulang jadi bisa lancar tanpa eror, mungkin kalian yg ngalami kendala sprt aku bisa coba kayak aku uninstall trs instal ulang. Versi yg terbaru ini jadi lebih rapi dan kek fresh kekinian gitu sippp"
5,alhamdulillah semakin baik tidak ada lagi tambahan uang kalau bayar di mini market kalau menurut saya sih bagusan aplikasi ini dibuat ada point nya gitu per tiket jadi nantik pointnya bisa ditukar tiket atau hadiah lain gitu kan lebih seru😂 atau nggak bisa nyimpan uang di aplikasi ini jadi gak meski jauh jauh ke Atm atau mini market. terimakasih aplikasi ini sangat membantu jadi gak jauh jauh beli tiket😆
5,Sangat nyaman melakukan perjalanan jarak jauh pakai kereta api
5,"Sejauh ini berjalan sesuai, tidak ada gangguan yg penting, cuma beberapa fitur tracking live yang 2x perjalanan ada dan 2 kali perjalanan tidak menampilkan.. Saran tambahan mengenai bukti transaksi ( nota ) dalam pembelian rail food disertakan dalam bentuk PDF penting bagi perjalanan dinas kantor dalam klaim.."
5,"Menurutku aplikasinya sudah cukup bagus, tapi mau minta saran supaya kita masih bisa mengakses tiket walaupun tidak menggunakan internet. Jadi walaupun tiba tiba paket habis, masih bisa menggunakan scan qr code pada tiket. Karena scanner di petugas tidak bisa mendeteksi qr code melalui screenshot. Terimakasih"
5,"Mantap ada aplikasi ini, tidak perlu antri di stasiun atau di indomaret."
5,"Dengan aplikasi ini,jadi lebih enak memesan tiket dari rumah"
5,"pembayaran dengan KAI Pay sering Trouble, di saldo sudah berkurang dan tertera berhasil,dan lunas tapi di bagian Tiket masih di kolom menunggu,, sungguh harus dibenerin, Server sering overload jadi lama loadinya dan sering error Kai Acces sudah bagus tinggal dibenahi soal diatas dn banya masukan yang lain,, tolong disegerakan demi kenyamanan customers."
5,"Kenapa sekarang setelah di update kalau mau ganti tempat duduk jadi gak bisa, sudah di tap tempat duduknya tapi setelah pilih gerbong gak bisa pilih tempat duduknya, masih enakan versi yang lama min jangan kau kecewakan pelanggan setiamu ini tolong di di upgrade yang lebih bagus lagi dengarkan lah keluhan semua pengguna mu ini jangan hanya mementingkan agen"" besar saja wassalam"
5,Kenapa setelah pemesanan mau pembayaran pasti logout otomatis? Dan hrus mengulang lagi seperti itu ??? Padahal dah lama make app KAI access tp bru kli nih Booking tiket mlah ga semudah dlu. . .
5,"Aplikasi yang sangat memudahkan.. ga perlu antri di loket, beli tiket jarak deket jg ga perlu cetak lagi.. mantapp deh.. semoga bisa pake pembayaran selain link aja, ato pake mbanking gitu.. tapi semuanya udah bagus kok.. sukses selalu KAI.."
5,Sangat membatu perjalanan saya.. KAI memang terbaik
5,Akhirnya bisa cancel dan reschedule via app. Kejadian ga bisa cancel seperti waktu lebaran kemarin ga bakal terjadi kalau kaya gini. KAI mantap👍👍👍👍
5,"Baik dlm menggunakan aplikasi n membantu dalam pelanyanan ditigal dan efisien serta baik untuk kai .saya bangga bekerjaaa di perkereta apian walaupun di anak perusahan dan melayani masarakat,dan juga banyak tantangan ...trimaksh kai acces"
5,"Setelah di update aplikasi jd sering macet dan foreclos di android 11,,tolong di perbaiki bug nya om,speed data sering nol saat akan execusi selanjutnya."
5,"Untuk pertama kali pakai, seperti menyesal telah mendowload aplikasi ini. Tapi setelah tau caranya, aku merasa semakin suka dan merasa aplikasi ini sangat bermanfaat. Untuk pemula, sebaiknya pelajari tata cara penggunaannya. Dan banyak bersabar saja. Tapi kalau sudah paham, pasti akan suka"
5,Pernah transaksi double dg kode yang sama. Meskipun awalnya mikir kok bisa. Ternyata aplikasi masih ada bug. Tapi uangnya di kembalikan kurang dr 2x24 jam. Mantab
5,"Jangan sering2 update dong.. klo lagi ada paket kuota sih boleh, tapi klo pake paket smartfren unlimited mah wah berantakan klo kuotanya habis, mana semua kudu online pula, repotin banget, ga semua stasiun ada wifi, ga semua stasiun juga ada yang jual tiket di toko2nya"
5,"Tolong untuk menu pilih kursi di kereta ekonomi, ditambah arah kereta berjalan juga, biar ngga bingung buat pilih kursi dapat yang maju atau mundur"
5,"Kukasih bintang lima karna memang sangat membantu untuk pemesanan tiket kereta api, mudah banget tp emang gitu kurangnya kadang loading saat mencari kereta susah, error dan tidak tersedia jadwal padahal sbnrnya ada"
5,"Turunin harga dong, hehe,,,, Atau kasih diskon gitu, soalnya makin hari saya liat tiket makin mahal,,, Sebagai perantau hrs mikir berkali"" Klo mau pulang, soalnya tiketnya lumayan"
5,"Kai Acces memberikan Pelayanan yang luar biasa,Saya Jujur pribadi sudah Lebih dari 3x mengunakan jasa kai Acces,dan sampai detik ini gak pernah ada masalah,dari pelayanan nya, kesopanan anggota yg ada di dalam keretanya,berikut perjalanan,&Pengalaman yg baik saat menuju ke kampung halaman, Apresiasi untuk KAI Acces 🙏🤝"
