content,case folding
"ga guna banget nyediain online tiket transportasi, pas war malah eror, jujur kecewa, sumpah ga guna banget, jelek, makin maju jaman malah makin banyak eror, niat ga si buka tiket online kai nih, tau saya klo yang pesen banyak, tapi eror dari aplikasi mu ini ga selesai selesai dari tahun kemarin, padhaal di sini banyak yang komplain tapi ga ada perubahan apa apa","ga guna banget nyediain online tiket transportasi, pas war malah eror, jujur kecewa, sumpah ga guna banget, jelek, makin maju jaman malah makin banyak eror, niat ga si buka tiket online kai nih, tau saya klo yang pesen banyak, tapi eror dari aplikasi mu ini ga selesai selesai dari tahun kemarin, padhaal di sini banyak yang komplain tapi ga ada perubahan apa apa"
Mempermudah perjalanan,mempermudah perjalanan
Cepat dan mudah buat kami,cepat dan mudah buat kami
"udh bbrp kali mau pergi/pulang dadakan selalu kebantu pesen disini & tersedia terus. tp pernah tulisan ""hanya tersedia di loket"" lumayan jd informasi tambahan jg klo di loket msh ada. masukannya: metode pembayarannya cb pake virtual account/ovo/dana ya biar ga ribed disaat mendadak pesen tiket. wktu itu pnh nyoba pake BNI mobile ga bs ujung2nya ke atm juga","udh bbrp kali mau pergi/pulang dadakan selalu kebantu pesen disini & tersedia terus. tp pernah tulisan ""hanya tersedia di loket"" lumayan jd informasi tambahan jg klo di loket msh ada. masukannya: metode pembayarannya cb pake virtual account/ovo/dana ya biar ga ribed disaat mendadak pesen tiket. wktu itu pnh nyoba pake bni mobile ga bs ujung2nya ke atm juga"
Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setia mau berangkat pagi sore MLM susah .. solnya GK ada keberatan pagi MLM sore ? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA Argo Muria bisa di perpanjang sape Brebes,bagus banget jadi gk ngantri di loket semoga st brebes jawa tengah menjadi st besar tambah kereta nya amin🙏 solnya setia mau berangkat pagi sore mlm susah .. solnya gk ada keberatan pagi mlm sore ? tolong dong stasiun brebes tambah kereta lagi ka majapahit sama ka brawijaya ka blambangan ekspres ka gumarang ka argo muria bisa di perpanjang sape brebes
Skrg lebih mudah.. tidak perlu repot untuk cetak tiket krna sudah ada e-boarding nya diperiksa saat dikreta.. menyenangkan lebih di renovasi agar lebih baik,skrg lebih mudah.. tidak perlu repot untuk cetak tiket krna sudah ada e-boarding nya diperiksa saat dikreta.. menyenangkan lebih di renovasi agar lebih baik
"Alhamdulillah Aplikasi ini sangat membantu dalam informasi dan pemesanan tiket KAI.Prosesnya pun Alhamdulillah sangat mudah.Sayangnya saat pembayaran atau pembatalan tiket,Aplikasi ini tidak mensupport Bank BTN dan BSI.Sehingga jadi agak menyulitkan pembayarannya.Padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. Mohon KAI segera mensupport Bank BTN dan BSI agar transaksi kami bisa full melalui aplikasi KAI ini. Terima kasih atas kemudahannya.","alhamdulillah aplikasi ini sangat membantu dalam informasi dan pemesanan tiket kai.prosesnya pun alhamdulillah sangat mudah.sayangnya saat pembayaran atau pembatalan tiket,aplikasi ini tidak mensupport bank btn dan bsi.sehingga jadi agak menyulitkan pembayarannya.padahal inginnya bisa sepenuhnya transaksi melalui aplikasi ini. mohon kai segera mensupport bank btn dan bsi agar transaksi kami bisa full melalui aplikasi kai ini. terima kasih atas kemudahannya."
Aplikasi cukup stabil. Masukan untuk bisa otomatis mengetahui penumpang termasuk yg berhak dapat reduksi (manula). Bisa dari inputan tanggal lahir di ktp atau verifikasi sebelumnya (online),aplikasi cukup stabil. masukan untuk bisa otomatis mengetahui penumpang termasuk yg berhak dapat reduksi (manula). bisa dari inputan tanggal lahir di ktp atau verifikasi sebelumnya (online)
"Face recognition nya kok gak ada diapp access by kai, tadinya uda daftar distasiun dengan ktp, kebalik ktpnya sama petugas & sidik jari & sukses. Gitu doang kata petugasnya. Tp pas scan gak kedetect. Cari2 internet bisa daftar di app. Tapi ternyata tidak muncul menu tersebut. Sudah install ulang app sama saja..... Update: solved, mudah-mudahan dah bisa untuk lain kali","face recognition nya kok gak ada diapp access by kai, tadinya uda daftar distasiun dengan ktp, kebalik ktpnya sama petugas & sidik jari & sukses. gitu doang kata petugasnya. tp pas scan gak kedetect. cari2 internet bisa daftar di app. tapi ternyata tidak muncul menu tersebut. sudah install ulang app sama saja..... update: solved, mudah-mudahan dah bisa untuk lain kali"
"Sebenarnya app ini sangat bagus, namun sudah 2 atau 3 kali saya harus instal ulang karena tetiba offline & tidak bisa digunakan. Data yg sudah didaftarkan tetiba log out, jd harus instal ulang. Tolong ditingkatkan ya","sebenarnya app ini sangat bagus, namun sudah 2 atau 3 kali saya harus instal ulang karena tetiba offline & tidak bisa digunakan. data yg sudah didaftarkan tetiba log out, jd harus instal ulang. tolong ditingkatkan ya"
