score,content,case folding,remove punctuation,stopword,normalized,stemming teks,token count
5,sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :),sya belom mencoba apknya namun sya memeberikan bintang lima karena suatu pekerja di sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk bpk :), belom mencoba apknya namun  memeberikan bintang lima karena suatu pekerja  sana sangat baik kepada saya karna memberi kartu mrtnya dengan percuma terimakasih untuk ,"['belom', 'mencoba', 'apknya', 'memeberikan', 'bintang', 'pekerja', 'karna', 'kartu', 'mrtnya', 'terimakasih']","['belom', 'mencoba', 'aplikasinya', 'memeberikan', 'bintang', 'pekerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']","['bom', 'coba', 'aplikasi', 'memeberikan', 'bintang', 'kerja', 'karena', 'kartu', 'mrtnya', 'terima', 'kasih']",11
5,Pengalaman pertama pake aplikasi MRT-J sangat memuaskan dan terbantu sekali. Pembelian tiket pun sangat mudah dan QR code tidak bermasalah saat tap in dan tap out stasiun MRT. Petugas di lapangannya pun sangat ramah dan membantu sekali untuk saya dan keluarga yang baru pertama kali naik MRT Jakarta.,pengalaman pertama pake aplikasi mrt-j sangat memuaskan dan terbantu sekali. pembelian tiket pun sangat mudah dan qr code tidak bermasalah saat tap in dan tap out stasiun mrt. petugas di lapangannya pun sangat ramah dan membantu sekali untuk saya dan keluarga yang baru pertama kali naik mrt jakarta.,pengalaman pertama pake aplikasi mrtj sangat memuaskan  terbantu sekali pembelian tiket  sangat mudah   code tidak bermasalah saat      stasiun  petugas  lapangannya  sangat ramah  membantu sekali untuk saya  keluarga yang baru pertama kali naik  jakarta,"['pengalaman', 'pake', 'aplikasi', 'mrtj', 'memuaskan', 'terbantu', 'pembelian', 'tiket', 'mudah', 'code', 'bermasalah', 'stasiun', 'petugas', 'lapangannya', 'ramah', 'membantu', 'keluarga', 'kali', 'jakarta']","['pengalaman', 'pakai', 'aplikasi', 'mrtj', 'memuaskan', 'terbantu', 'pembelian', 'tiket', 'mudah', 'kode', 'bermasalah', 'stasiun', 'petugas', 'lapangannya', 'ramah', 'membantu', 'keluarga', 'terkadang', 'jakarta']","['alam', 'pakai', 'aplikasi', 'mrtj', 'muas', 'bantu', 'beli', 'tiket', 'mudah', 'kode', 'masalah', 'stasiun', 'tugas', 'lapang', 'ramah', 'bantu', 'keluarga', 'terkadang', 'jakarta']",19
5,Sangat membantu,sangat membantu,sangat membantu,['membantu'],['membantu'],['bantu'],1
5,"Alhamdulillah, sudah merasakan naik MRT-Jakarta, semuanya serba tertib teratur, dan yang paling penting cepat & bebas dari kemacetan.","alhamdulillah, sudah merasakan naik mrt-jakarta, semuanya serba tertib teratur, dan yang paling penting cepat & bebas dari kemacetan.",alhamdulillah sudah merasakan naik mrtjakarta semuanya serba tertib teratur  yang paling penting cepat bebas dari kemacetan,"['alhamdulillah', 'merasakan', 'mrtjakarta', 'serba', 'tertib', 'teratur', 'cepat', 'bebas', 'kemacetan']","['alhamdulillah', 'merasakan', 'mrtjakarta', 'serba', 'tertib', 'teratur', 'cepat', 'bebas', 'kemacetan']","['alhamdulillah', 'rasa', 'mrtjakarta', 'serba', 'tertib', 'atur', 'cepat', 'bebas', 'macet']",9
5,"Update lagi dengan alarm kedatangan, alarm keberangkatan dan alarm ketika mau sampai stasiun tujuan","update lagi dengan alarm kedatangan, alarm keberangkatan dan alarm ketika mau sampai stasiun tujuan",update lagi dengan alarm kedatangan alarm keberangkatan  alarm ketika  sampai stasiun tujuan,"['update', 'alarm', 'kedatangan', 'alarm', 'keberangkatan', 'alarm', 'stasiun', 'tujuan']","['pembaruan', 'alarm', 'kedatangan', 'alarm', 'keberangkatan', 'alarm', 'stasiun', 'tujuan']","['baru', 'alarm', 'datang', 'alarm', 'berangkat', 'alarm', 'stasiun', 'tuju']",8
5,"semoga bermanfaat dengan baik, upgradenya semoga terus berkembang tanpa bug","semoga bermanfaat dengan baik, upgradenya semoga terus berkembang tanpa bug",semoga bermanfaat dengan baik upgradenya semoga terus berkembang tanpa ,"['semoga', 'bermanfaat', 'upgradenya', 'semoga', 'berkembang']","['semoga', 'bermanfaat', 'upgradenya', 'semoga', 'berkembang']","['moga', 'manfaat', 'upgradenya', 'moga', 'kembang']",5
5,"sudah daftar, mudah dan cepat, tetapi blm dicoba aplikasinya","sudah daftar, mudah dan cepat, tetapi blm dicoba aplikasinya",sudah daftar mudah  cepat tetapi  dicoba aplikasinya,"['daftar', 'mudah', 'cepat', 'dicoba', 'aplikasinya']","['daftar', 'mudah', 'cepat', 'dicoba', 'aplikasi', 'nya']","['daftar', 'mudah', 'cepat', 'coba', 'aplikasi', 'nya']",6
5,"KEREN banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jdi bisa naik mrt bareng temen2 tanpa harus punya kartu","keren banget gampang juga pesennya, kemarin beli yang grup buat 4 orang jdi bisa naik mrt bareng temen2 tanpa harus punya kartu",keren banget gampang juga pesennya kemarin beli yang grup buat orang  bisa naik  bareng temen tanpa harus punya kartu,"['keren', 'banget', 'gampang', 'pesennya', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']","['keren', 'sekali', 'mudah', 'pesannya', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']","['keren', 'sekali', 'mudah', 'pesan', 'kemarin', 'beli', 'grup', 'orang', 'bareng', 'temen', 'kartu']",11
5,"Menyenangkan bersama keluarga, bisa sampai tujuan dengan cepat dan biaya murah.","menyenangkan bersama keluarga, bisa sampai tujuan dengan cepat dan biaya murah.",menyenangkan bersama keluarga bisa sampai tujuan dengan cepat  biaya murah,"['menyenangkan', 'keluarga', 'tujuan', 'cepat', 'biaya', 'murah']","['menyenangkan', 'keluarga', 'tujuan', 'cepat', 'biaya', 'terjangkau']","['senang', 'keluarga', 'tuju', 'cepat', 'biaya', 'jangkau']",6
5,"mantap... sangat menolong, ga perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres","mantap... sangat menolong, ga perlu lagi harus beli 5 kartu buat bawa 4 anak , cukup scan beres",mantap sangat menolong  perlu lagi harus beli kartu buat bawa anak cukup scan beres,"['mantap', 'menolong', 'beli', 'kartu', 'bawa', 'anak', 'scan', 'beres']","['bagus', 'menolong', 'beli', 'kartu', 'bawa', 'anak', 'memindai', 'selesai']","['bagus', 'tolong', 'beli', 'kartu', 'bawa', 'anak', 'pindai', 'selesai']",8
